,Random (2500),Twenty percent sorted (2500),Fifty percent sorted (2500),Random (12500),Twenty percent sorted (12500),Fifty percent sorted (12500),Random (62500),Twenty percent sorted (62500),Fifty percent sorted (62500),Random (312500),Twenty percent sorted (312500),Fifty percent sorted (312500),
merge_sort comparisons,25068,25120,25188,154522,154579,154989,916856,917386,916740,5315926,5316970,5322107,
merge_sort comparisons,25105,25188,25154,154472,154732,154878,916941,916922,916745,5315618,5316864,5321599,
merge_sort comparisons,25043,25128,25170,154521,154568,154879,916917,917035,916936,5315515,5317505,5321289,
merge_sort comparisons,25112,25132,25149,154561,154693,154857,917132,917315,916644,5315701,5317007,5321149,
merge_sort comparisons,25095,25084,25226,154638,154777,154760,917250,917314,916867,5315857,5316852,5321696,

adap_merge_sort comparisons,12559,13106,12234,82558,81755,81840,580864,583271,580065,3525810,3527641,3525606,
adap_merge_sort comparisons,13191,12418,12039,81986,81722,80277,580908,580044,580271,3524332,3524846,3522178,
adap_merge_sort comparisons,12882,12414,12734,80849,82136,82166,580756,579626,580330,3523624,3524492,3529574,
adap_merge_sort comparisons,12852,12069,12406,81401,81428,79961,581793,582266,580211,3527024,3522121,3524954,
adap_merge_sort comparisons,12672,13176,12911,82683,81952,81020,579366,581785,580216,3521349,3527574,3529095,

adap20_merge_sort comparisons,15419,15630,15672,115807,115497,115690,700753,702914,701661,4138030,4141694,4137774,
adap20_merge_sort comparisons,15967,15582,15540,115297,115411,115481,701698,701429,702911,4139487,4137411,4139740,
adap20_merge_sort comparisons,15611,15501,15590,114913,115157,115608,702238,702200,702438,4139564,4137563,4138996,
adap20_merge_sort comparisons,15699,15405,15695,115490,115333,115393,702980,702707,702595,4140739,4136323,4140669,
adap20_merge_sort comparisons,15688,15724,15649,115273,115710,115253,702193,702613,702944,4137681,4139938,4139580,

heap_sort comparisons,54672,54660,54610,331294,331154,330926,1943558,1943420,1939458,11177030,11172646,11117588,
heap_sort comparisons,54618,54776,54480,331400,331480,330720,1943460,1943372,1939524,11177838,11172664,11116116,
heap_sort comparisons,54560,54568,54534,331212,331532,330776,1942898,1943604,1939492,11176344,11175596,11118200,
heap_sort comparisons,54550,54686,54470,331462,331238,331024,1942754,1944448,1939866,11177438,11173280,11117892,
heap_sort comparisons,54656,54562,54504,331428,331456,330992,1943542,1943836,1939424,11178456,11173252,11118254,

heap_sort exchanges,26085,26079,26054,159396,159326,159212,940528,940459,938478,5432264,5430072,5402543,
heap_sort exchanges,26058,26137,25989,159449,159489,159109,940479,940435,938511,5432668,5430081,5401807,
heap_sort exchanges,26029,26033,26016,159355,159515,159137,940198,940551,938495,5431921,5431547,5402849,
heap_sort exchanges,26024,26092,25984,159480,159368,159261,940126,940973,938682,5432468,5430389,5402695,
heap_sort exchanges,26077,26030,26001,159463,159477,159245,940520,940667,938461,5432977,5430375,5402876,

quick_sort1 comparisons,37785,37863,38424,228114,228666,232521,1360746,1324554,1345065,7773063,7764600,7693584,
quick_sort1 comparisons,37392,37566,38157,228888,226230,232278,1344336,1340532,1340823,7722120,7800816,7673907,
quick_sort1 comparisons,38190,37659,38115,229152,227838,234213,1360989,1352508,1362645,7828503,7730325,7697730,
quick_sort1 comparisons,37866,37158,38085,229218,230340,231294,1353120,1347438,1325379,7701129,7721400,7676829,
quick_sort1 comparisons,38367,38073,38298,229716,231621,230238,1366116,1321050,1351008,7803918,7683156,7540437,

quick_sort1 exchanges,10937,10907,11043,67747,67767,68916,411955,398965,405414,2382431,2378409,2351645,
quick_sort1 exchanges,10824,10814,10988,67953,66977,68747,406434,404734,403484,2365480,2390591,2345898,
quick_sort1 exchanges,11077,10831,10971,68027,67390,69336,411986,408652,410905,2400813,2366447,2352651,
quick_sort1 exchanges,10964,10699,10967,68085,68302,68435,409384,407212,398228,2358377,2363542,2346572,
quick_sort1 exchanges,11109,10996,11033,68195,68749,68152,413740,397750,406838,2392522,2350668,2300345,

quickToInsertSortTime exchanges,7114,7200,7349,49016,49459,50596,318615,311414,316267,1910719,1912084,1907464,
quickToInsertSortTime exchanges,7153,7254,7335,49099,48681,50409,313393,312891,316659,1894090,1924634,1895231,
quickToInsertSortTime exchanges,7181,7288,7233,49566,49653,51029,318471,317119,320793,1927707,1903932,1908063,
quickToInsertSortTime exchanges,7184,7078,7378,49566,50132,50417,316182,315491,312316,1885140,1900454,1893166,
quickToInsertSortTime exchanges,7388,7443,7337,49783,50332,49630,320391,309515,318436,1920312,1887471,1857358,

quickToInsertSortTime comparisons,42057,42172,44119,247038,252112,255032,1455768,1421378,1438805,8203195,8196313,8079849,
quickToInsertSortTime comparisons,40750,42791,42888,249798,246982,258198,1433742,1441635,1448641,8140783,8219613,8067248,
quickToInsertSortTime comparisons,42800,42423,43904,248952,254368,261552,1451490,1448401,1490602,8251091,8151692,8075705,
quickToInsertSortTime comparisons,41573,43462,42884,247964,249578,255829,1444071,1438422,1425654,8128003,8127393,8086319,
quickToInsertSortTime comparisons,42707,41869,44083,248903,251146,255968,1460112,1416524,1474690,8229214,8094636,7900754,

quickMedianOfThreeSort comparisons,33840,36138,32097,215712,215445,208296,1180338,1204320,1230699,7109529,7004292,7037121,
quickMedianOfThreeSort comparisons,33228,32433,33924,197565,208053,201402,1225626,1202325,1203129,7040589,7029117,7028058,
quickMedianOfThreeSort comparisons,34464,34422,33582,216468,208761,197655,1242822,1236393,1198977,7215354,7048743,7189779,
quickMedianOfThreeSort comparisons,34680,32958,34107,198057,201630,203199,1198275,1241262,1169631,7189365,7160370,7026369,
quickMedianOfThreeSort comparisons,34884,33291,34353,200820,210564,199575,1174323,1219350,1224876,7282794,7266519,7149213,

quickMedianOfThreeSort exchanges,9843,10623,9271,64739,64638,62273,357547,365519,374364,2186295,2151524,2163024,
quickMedianOfThreeSort exchanges,9653,9394,9874,58711,62184,59985,372607,364762,365160,2163339,2159745,2159863,
quickMedianOfThreeSort exchanges,10068,10042,9766,64999,62405,58690,378416,376193,363706,2221612,2166208,2213851,
quickMedianOfThreeSort exchanges,10113,9563,9932,58867,60041,60585,363505,377757,353947,2212891,2203397,2159245,
quickMedianOfThreeSort exchanges,10210,9661,10013,59798,63068,59355,355503,370525,372407,2244001,2238839,2200318,

quickMedianOfThreeToInsertionSort comparisons,39688,41321,36994,242919,241489,235218,1311887,1315642,1345070,7710382,7574841,7588935,
quickMedianOfThreeToInsertionSort comparisons,38031,36458,42053,225027,233421,229091,1350426,1330859,1304392,7642395,7583563,7540338,
quickMedianOfThreeToInsertionSort comparisons,40809,39263,39077,242303,237383,220837,1373284,1365277,1327962,7819682,7602541,7735668,
quickMedianOfThreeToInsertionSort comparisons,40160,39303,39025,224160,226022,227108,1334164,1372399,1287199,7790996,7723516,7585337,
quickMedianOfThreeToInsertionSort comparisons,40065,38932,40274,228094,237221,223022,1304451,1342572,1344347,7883729,7860758,7680911,

quickMedianOfThreeToInsertionSort exchanges,6236,6981,6022,46413,46777,45250,265693,279609,288627,1723321,1695287,1718719,
quickMedianOfThreeToInsertionSort exchanges,6038,6080,6256,40729,44745,42341,281345,275016,282017,1700687,1706048,1716957,
quickMedianOfThreeToInsertionSort exchanges,6365,6512,6351,46740,44351,42134,287571,287444,277319,1759071,1711350,1768482,
quickMedianOfThreeToInsertionSort exchanges,6467,5987,6552,40566,42186,43699,272668,287511,271408,1748378,1746939,1712235,
quickMedianOfThreeToInsertionSort exchanges,6619,5982,6544,41686,45042,42252,264560,281424,287709,1780555,1779668,1756773,

shellSort comparisons,25005,25005,25005,150006,150006,150006,875007,875007,875007,5312508,5312508,5312508,
shellSort comparisons,25005,25005,25005,150006,150006,150006,875007,875007,875007,5312508,5312508,5312508,
shellSort comparisons,25005,25005,25005,150006,150006,150006,875007,875007,875007,5312508,5312508,5312508,
shellSort comparisons,25005,25005,25005,150006,150006,150006,875007,875007,875007,5312508,5312508,5312508,
shellSort comparisons,25005,25005,25005,150006,150006,150006,875007,875007,875007,5312508,5312508,5312508,

shellSort exchanges,26127,27260,25596,210599,221508,219198,1546760,1501775,1595935,11264435,11314443,10843306,
shellSort exchanges,25710,24962,25598,234744,220132,219891,1607516,1449377,1430862,10979444,10926590,11001688,
shellSort exchanges,24852,24276,24716,221228,214385,214931,1485476,1591599,1418537,11056812,10419783,11288153,
shellSort exchanges,25479,25497,24023,234167,211579,198421,1570364,1512124,1412748,11175033,11312283,11050887,
shellSort exchanges,24958,25201,24589,218702,216087,217155,1561421,1437669,1440313,11299793,11949415,11716621,

merge sort time,2,0,1,4,3,4,21,23,22,131,119,113,
merge sort time,1,0,1,4,4,4,28,26,22,140,145,128,
merge sort time,0,1,0,4,4,3,21,22,19,137,137,129,
merge sort time,0,1,1,4,3,4,27,29,31,153,158,124,
merge sort time,1,1,0,4,4,3,22,24,20,136,120,125,

adap merge sort time,0,0,0,0,0,0,0,0,0,0,0,0,
adap merge sort time,0,0,0,0,0,0,0,0,0,0,0,0,
adap merge sort time,0,0,0,0,0,0,0,0,0,0,0,0,
adap merge sort time,0,0,0,0,0,0,0,0,0,0,0,0,
adap merge sort time,0,0,0,0,0,0,0,0,0,0,0,0,

adap20 sort time,1,0,0,3,3,2,12,12,13,72,72,73,
adap20 sort time,0,0,0,3,2,2,12,12,13,70,78,75,
adap20 sort time,0,0,1,2,2,2,12,13,14,81,70,71,
adap20 sort time,0,0,1,2,2,2,13,13,15,75,73,76,
adap20 sort time,1,0,0,3,2,2,12,12,13,76,73,77,

heap sort time,1,1,1,7,11,8,42,43,45,284,242,240,
heap sort time,1,1,1,7,7,7,47,55,47,264,260,255,
heap sort time,1,1,2,6,7,7,41,42,40,248,253,248,
heap sort time,2,1,1,7,8,7,42,42,42,271,286,248,
heap sort time,1,1,1,8,6,7,47,45,43,257,266,269,

vanilla quicksort time,1,1,1,4,4,4,26,27,31,152,159,150,
vanilla quicksort time,1,0,1,4,5,4,25,24,26,160,151,149,
vanilla quicksort time,1,0,1,4,5,4,26,25,26,147,165,153,
vanilla quicksort time,0,1,1,4,5,8,29,29,32,157,145,145,
vanilla quicksort time,0,1,1,4,4,5,31,25,28,147,146,143,

quick to insertion sort time,1,1,0,5,4,4,25,25,26,139,139,138,
quick to insertion sort time,1,0,1,4,4,5,26,26,26,151,160,162,
quick to insertion sort time,1,1,0,4,5,4,25,25,26,151,145,148,
quick to insertion sort time,1,0,1,4,5,4,29,27,26,148,151,153,
quick to insertion sort time,0,1,1,4,4,4,25,25,26,155,150,142,

